number,multiples,factors,total
1,100,1,101
2,50,2,52
3,33,2,35
4,25,3,28
5,20,2,22
6,16,4,20
7,14,2,16
8,12,4,16
9,11,3,14
10,10,4,14
11,9,2,11
12,8,6,14
13,7,2,9
14,7,4,11
15,6,4,10
16,6,5,11
17,5,2,7
18,5,6,11
19,5,2,7
20,5,6,11
21,4,4,8
22,4,4,8
23,4,2,6
24,4,8,12
25,4,3,7
26,3,4,7
27,3,4,7
28,3,6,9
29,3,2,5
30,3,8,11
31,3,2,5
32,3,6,9
33,3,4,7
34,2,4,6
35,2,4,6
36,2,9,11
37,2,2,4
38,2,4,6
39,2,4,6
40,2,8,10
41,2,2,4
42,2,8,10
43,2,2,4
44,2,6,8
45,2,6,8
46,2,4,6
47,2,2,4
48,2,10,12
49,2,3,5
50,2,6,8
51,1,4,5
52,1,6,7
53,1,2,3
54,1,8,9
55,1,4,5
56,1,8,9
57,1,4,5
58,1,4,5
59,1,2,3
60,1,12,13
61,1,2,3
62,1,4,5
63,1,6,7
64,1,7,8
65,1,4,5
66,1,8,9
67,1,2,3
68,1,6,7
69,1,4,5
70,1,8,9
71,1,2,3
72,1,12,13
73,1,2,3
74,1,4,5
75,1,6,7
76,1,6,7
77,1,4,5
78,1,8,9
79,1,2,3
80,1,10,11
81,1,5,6
82,1,4,5
83,1,2,3
84,1,12,13
85,1,4,5
86,1,4,5
87,1,4,5
88,1,8,9
89,1,2,3
90,1,12,13
91,1,4,5
92,1,6,7
93,1,4,5
94,1,4,5
95,1,4,5
96,1,12,13
97,1,2,3
98,1,6,7
99,1,6,7
100,1,9,10
